"HydroID","fragforest_1985_pct","fragforest_1990_pct","fragforest_1995_pct","fragforest_2002_pct","fragforest_2006_pct","fragforest_2010_pct","fragforest_2015_pct"
"201496067",0.377339572192513,0.384692513368984,0.401905080213904,0.409258021390374,0.428308823529412,0.42730614973262,0.427139037433155
"201496068",0.169920521692428,0.177321883830386,0.183298228203969,0.18600902198141,0.187199483700427,0.190026864817256,0.188331375476433
"201496069",0.411953041622198,0.428673070081821,0.434720739950196,0.440412664532195,0.448950551405194,0.445393098541444,0.456421202419068
"201496070",0.236649354108403,0.221334398721534,0.220002663470502,0.215607937142096,0.210147822612865,0.209615128512452,0.211080037288587
"201496071",0.238892935178441,0.237436270939548,0.251274581209031,0.224326292789512,0.225782957028405,0.226511289147851,0.226511289147851
"201496072",0.181139380530973,0.19054203539823,0.211006637168142,0.214601769911504,0.198285398230089,0.198147123893805,0.198700221238938
"201496073",0.321669161676647,0.416916167664671,0.421968562874251,0.454341317365269,0.506736526946108,0.510104790419162,0.51122754491018
"201496074",0.392287685174714,0.445097817482755,0.469919710505485,0.474329978514079,0.475234648874816,0.477326699084021,0.474838855591994
"201496075",0.342105263157895,0.335314091680815,0.31918505942275,0.299660441426146,0.303056027164686,0.298811544991511,0.296264855687606
"201496076",0.338467693538708,0.35995199039808,0.36749349869974,0.378875775155031,0.38625725145029,0.390498099619924,0.386897379475895
"201496077",0.172590289027151,0.18020843419239,0.186222716378713,0.189029816566161,0.190313015741084,0.193156289199042,0.191446354223896
"201496078",0.312099788140637,0.318550786736176,0.331238544121498,0.330000714132686,0.331071913161465,0.333499964293366,0.329238972601109
"201496079",0.317791411042945,0.323312883435583,0.348466257668712,0.344171779141104,0.353374233128834,0.360122699386503,0.356441717791411
"201496080",0.149411287048315,0.148599269183922,0.161185546082014,0.156719447827852,0.160373528217621,0.159967519285424,0.159967519285424
"201496081",0.319234404536862,0.325378071833648,0.310727788279773,0.312381852551985,0.302930056710775,0.308364839319471,0.304584120982987
"201496082",0.29746835443038,0.29746835443038,0.331533879374535,0.335256887565153,0.301377513030529,0.296723752792256,0.296537602382725
"201496083",0.240721824991488,0.238678924072182,0.235955056179775,0.234933605720123,0.244467143343548,0.233571671773919,0.232550221314266
"201496084",0.289876183539694,0.284777858703569,0.309541150764749,0.308084486525856,0.3401310997815,0.3401310997815,0.3401310997815
"201496085",0.175406871609403,0.176612417118746,0.177817962628089,0.181434599156118,0.177215189873418,0.177817962628089,0.179023508137432
"201496086",0.170130904323224,0.17754683780147,0.183524686885416,0.186236621467757,0.187432908946624,0.190254701031639,0.188569575268261
"201496087",0.254084507042253,0.312112676056338,0.307042253521127,0.303098591549296,0.299718309859155,0.299154929577465,0.299718309859155
"201496088",0.226582278481013,0.225632911392405,0.237025316455696,0.238291139240506,0.249683544303797,0.249367088607595,0.25
"201496089",0.216881594372802,0.202813599062134,0.1957796014068,0.202813599062134,0.198124267291911,0.199296600234467,0.199296600234467
"201496090",0.170297275953879,0.177724763032914,0.183718149792757,0.186407122358178,0.187606571769538,0.190430654728423,0.188746738049072
"201496091",0.395232815964523,0.393569844789357,0.403547671840355,0.403547671840355,0.412971175166297,0.413525498891353,0.412971175166297
"201496092",0.387480744993698,0.38860103626943,0.402324604397143,0.405405405405405,0.403724968491808,0.403164822853942,0.402884750035009
"201496093",0.409059553920441,0.442400551851,0.44148080018395,0.443090365601288,0.445619682685675,0.446309496435962,0.4479190618533
"201496094",0.428484293992071,0.432143946325099,0.466605672461116,0.461421164989326,0.472400121988411,0.463555962183593,0.463860933211345
"201496095",0.0940310711365495,0.0907604251839738,0.0923957481602617,0.0793131643499591,0.0784955028618152,0.0744071954210957,0.07113654946852
"201496096",0.344170403587444,0.373318385650224,0.369955156950673,0.347533632286996,0.345291479820628,0.34304932735426,0.341928251121076
"201496097",0.382064455861747,0.385333956095283,0.375058383932742,0.373657169546941,0.367585240541803,0.372723026623073,0.362914525922466
"201496098",0.313276299112801,0.309005069708492,0.311660329531052,0.312743979721166,0.310158428390368,0.311419518377693,0.31031051964512
"201496099",0.299247673727975,0.302019402098594,0.31835280142546,0.316372995446446,0.294793110275193,0.294100178182538,0.292219362502475
"201496100",0.262992905461145,0.270499917505362,0.2768520046197,0.27742946708464,0.264560303580267,0.266952648077875,0.266870153440026
"201496101",0.187749785369608,0.198555315432665,0.23819532845851,0.287101453565825,0.207140531099204,0.241718227300986,0.211551555700287
"201496102",0.328941653395106,0.369914579412191,0.403069349934849,0.391486897350514,0.416533951064138,0.414507021861879,0.413927899232663
"201496103",0.342098202307486,0.343171451569627,0.375368929433861,0.375100617118326,0.375368929433861,0.375100617118326,0.37483230480279
"201496104",0.172815619389782,0.180559552887691,0.18657555283556,0.189428380901284,0.190779177477565,0.193621687901098,0.191916833287537
"201496105",0.414735099337748,0.443708609271523,0.461092715231788,0.451986754966887,0.458609271523179,0.457781456953642,0.452814569536424
"201496106",0.279521674140508,0.292227204783259,0.34304932735426,0.34304932735426,0.353512705530643,0.349028400597907,0.352017937219731
"201496107",0.266558529332252,0.280346039470127,0.290619086239524,0.280346039470127,0.284130846174642,0.283049472830495,0.282508786158421
"201496108",0.324803149606299,0.315804274465692,0.306242969628796,0.289932508436445,0.286839145106862,0.28599550056243,0.285433070866142
"201496109",0.28790053175969,0.295189152816897,0.300694919997856,0.30694622260068,0.308829116373792,0.311452781764156,0.31028922248754
"201496110",0.40368722186904,0.383979656706929,0.373172282263191,0.371900826446281,0.36808645899555,0.370629370629371,0.36681500317864
"201496111",0.423574144486692,0.428897338403042,0.423574144486692,0.490494296577947,0.480608365019011,0.480608365019011,0.481368821292776
"201496112",0.267898505345596,0.287854895540181,0.308648775077524,0.335357894657422,0.330385773244102,0.327413063324757,0.327677136540943
"201496113",0.312991165442498,0.308490420668755,0.31087241255329,0.312387641892239,0.309800195182084,0.311154912938518,0.309979968154502
"201496114",0.395883777239709,0.39636803874092,0.396852300242131,0.39225181598063,0.390072639225182,0.39225181598063,0.39273607748184
"201496115",0.241681693550379,0.267939628980066,0.292715460810711,0.331274856112442,0.287775115480572,0.293703529876738,0.289603043252723
"201496116",0.34611301167866,0.349651999528135,0.373835083166214,0.364043883449333,0.359089300460068,0.360386929338209,0.359915064291613
"201496117",0.466495945369185,0.465002134016219,0.462654716175843,0.483781476739223,0.484848484848485,0.484208279982928,0.484635083226633
