"HydroID","openwater_1985_pct","openwater_1990_pct","openwater_1995_pct","openwater_2002_pct","openwater_2006_pct","openwater_2010_pct","openwater_2015_pct"
"201495177",0.022547434697524,0.0184633710541989,0.0177826937803114,0.0175274398026036,0.0175274398026036,0.0171020165064239,0.0168467625287161
"201495178",0.0382142561812619,0.0385346894897875,0.0371366699743653,0.0362296369800711,0.0360435789299595,0.0361417762341851,0.0354647316629455
"201495179",0.00463939266132434,0.00342096630582502,0.00295234078447912,0.00271802802380618,0.002624302919537,0.00267116547167159,0.002624302919537
"201495180",0.0291665094517602,0.0249028411877901,0.0251292306531336,0.0248651096102328,0.0246387201448893,0.0246387201448893,0.0244123306795457
"201495181",0.0182148950470479,0.0178659135559921,0.0172196515355186,0.0165087633129976,0.0163471978078792,0.0164118240099266,0.016205020163375
"201495182",0.0256286685453411,0.0253243151540764,0.0248683945866544,0.024597767939682,0.0245811077406942,0.0246526246924466,0.0244388865298228
"201495183",0,0,0,0.00433369447453954,0.00325027085590466,0.00325027085590466,0.00325027085590466
"201495184",0.000651465798045603,0.000651465798045603,0.000651465798045603,0.000651465798045603,0.000651465798045603,0.000651465798045603,0.000651465798045603
"201495185",0.0137420718816068,0.0132135306553911,0.0121564482029598,0.0116279069767442,0.0116279069767442,0.0116279069767442,0.0116279069767442
"201495186",0.0363145460681741,0.0358420519743503,0.0358420519743503,0.0470469119136011,0.0456294296321296,0.0475869051636855,0.0470469119136011
"201495187",0.0053027276359278,0.00457632658991029,0.00392256564849453,0.00341408491628228,0.00341408491628228,0.00341408491628228,0.0033777648639814
"201495188",0.00697180963928463,0.00666868748105486,0.00606244316459533,0.00606244316459533,0.00575932100636557,0.00575932100636557,0.0054561988481358
"201495189",0.00285714285714286,0.00285714285714286,0.00285714285714286,0.0019047619047619,0.0019047619047619,0.0019047619047619,0.0019047619047619
"201495190",0.00541320822807651,0.00396968603392277,0.00396968603392277,0.00433056658246121,0.00396968603392277,0.00396968603392277,0.00396968603392277
"201495191",0,0,0,0.00268817204301075,0.00268817204301075,0.00268817204301075,0.00268817204301075
"201495192",0.00688791484032561,0.00751408891671885,0.00751408891671885,0.00751408891671885,0.00688791484032561,0.00688791484032561,0.00688791484032561
"201495193",0,0,0,0,0,0,0
"201495194",0.00103092783505155,0.00103092783505155,0.00103092783505155,0.00103092783505155,0.00103092783505155,0.00103092783505155,0.00103092783505155
"201495195",0.0135915278586267,0.0133832490427185,0.012993393823198,0.0124913884720346,0.0124913884720346,0.0125501337790856,0.0122350453139937
"201495196",0,0,0.00715380684721512,0.0623403168114461,0.0623403168114461,0.0623403168114461,0.0623403168114461
"201495197",0.00687285223367698,0.00400916380297824,0.00400916380297824,0.00515463917525773,0.00515463917525773,0.00515463917525773,0.00515463917525773
"201495198",0.00894382474123204,0.00904431715405487,0.0106521957592202,0.0284393528288614,0.0279368907647473,0.0279368907647473,0.0278363983519244
"201495199",0.00595238095238095,0.00595238095238095,0.00198412698412698,0.000992063492063492,0.000992063492063492,0.000992063492063492,0.000992063492063492
"201495200",0.0655357142857143,0.0651785714285714,0.065,0.0644642857142857,0.0644642857142857,0.0646428571428571,0.06375
"201495201",0.0109132124352332,0.00977979274611399,0.0094559585492228,0.00735103626943005,0.00725388601036269,0.00735103626943005,0.00731865284974093
"201495202",0.0260751777853031,0.0248052827632916,0.0241280054182188,0.0235353877412801,0.023450728073146,0.0236200474094142,0.0231120894006096
"201495203",0.0100111234705228,0.0122358175750834,0.0122358175750834,0.0111234705228031,0.0100111234705228,0.0100111234705228,0.0100111234705228
"201495204",0.0234177854042596,0.0224083981023519,0.0224083981023519,0.0204905622287272,0.0200868073079641,0.0220046431815888,0.0214999495306349
"201495205",0,0.000909090909090909,0,0.01,0.00636363636363636,0.00636363636363636,0.00636363636363636
"201495206",0.0216647662485747,0.0219498289623717,0.0219498289623717,0.0208095781071836,0.0199543899657925,0.0199543899657925,0.0199543899657925
"201495207",0.0798032249248428,0.073244055752938,0.0710576660289697,0.0694178737359934,0.0688712763050014,0.0702377698824816,0.0702377698824816
"201495208",0.0123114804555248,0.0123114804555248,0.0113881194213604,0.0104647583871961,0.0107725453985842,0.0107725453985842,0.0107725453985842
"201495209",0.00932711525649567,0.00932711525649567,0.00866089273817455,0.00777259604707972,0.00799467021985343,0.00799467021985343,0.00799467021985343
"201495210",0.118984838497034,0.116265655899802,0.115524060646012,0.114288068556361,0.114288068556361,0.115606460118655,0.114205669083718
"201495211",0.0222756262131435,0.0215361863388483,0.0215361863388483,0.0196875866531103,0.0192254367316758,0.0209816064331269,0.0205194565116924
"201495212",0.0274180187097165,0.0269179479926454,0.0266451821469703,0.0261097528943487,0.0258268846099448,0.0258925504616815,0.0256652455902855
"201495213",0.0270127118644068,0.0233050847457627,0.0222457627118644,0.024364406779661,0.024364406779661,0.024364406779661,0.0233050847457627
"201495214",0.00399017802332719,0.00399017802332719,0.00399017802332719,0.00399017802332719,0.00368324125230203,0.00368324125230203,0.00368324125230203
"201495215",0.0423753243009513,0.0423753243009513,0.0417987892764485,0.039780916690689,0.039780916690689,0.039780916690689,0.0394926491784376
"201495216",0.00908965707202865,0.00936510122572648,0.00867649084148189,0.01528715053023,0.0145985401459854,0.0145985401459854,0.0144608180691365
"201495217",0.0255241567912489,0.0237010027347311,0.0224855666970526,0.0203585536311152,0.0206624126405348,0.0206624126405348,0.0206624126405348
"201495218",0.0780973657265196,0.078004281857954,0.0776784883179745,0.0769803593037327,0.0767941915666015,0.0767941915666015,0.076235688355208
"201495219",0.293351610692255,0.288553803975326,0.287183002056203,0.285126799177519,0.285126799177519,0.285126799177519,0.285126799177519
"201495220",0.0233977619532045,0.0193285859613428,0.0181078331637843,0.017293997965412,0.0164801627670397,0.0164801627670397,0.0162767039674466
"201495221",0.0257780438560304,0.0254591510758307,0.0250169129749876,0.0247266002081076,0.0246901230858442,0.0247611970663368,0.0245457188080179
"201495222",0.0158414049063094,0.0160224495338101,0.0159319272200597,0.0157508825925591,0.0156603602788087,0.0156603602788087,0.0156603602788087
"201495223",0.0458599672959715,0.0433328378177494,0.0421436004162331,0.0415489817154749,0.0415489817154749,0.0439274565185075,0.0434071651553441
"201495224",0.0268003592620404,0.0259890749002459,0.025522328724767,0.0250069938307051,0.0249039268518928,0.0250025766744703,0.0246683451860359
