HydroID,catch_strdrf_pct
201480086,3.85E-05
201480087,2.75E-05
201480106,8.88E-05
201480107,0.003174603
201480175,0.00010408
201480176,3.64E-05
201480179,0.000173671
201480240,0.140470943
201480295,0.026879547
201480296,6.28E-05
201480451,6.65E-05
201480452,8.34E-05
201480461,5.80E-05
201480462,2.73E-05
201480602,9.16E-05
201480603,0.082396459
201480635,0.123600719
201480636,0.033286691
201480643,5.62E-05
201480644,5.43E-05
201480703,0.000986193
201480704,0.000130617
201480820,0.308968638
201480821,0.020306739
201480839,7.35E-05
201480883,0.016878094
201480884,0.003038125
201480921,3.65E-05
201480949,3.23E-05
201480952,4.57E-05
201481013,0.008710614
201481017,5.17E-05
201481018,5.51E-05
201481021,0.300497294
201481022,0.422739695
201481059,0.139267471
201481072,0.008441065
201481087,9.02E-05
201481088,0.004257847
201481100,0.025937918
201481111,0.074395253
201481129,0.213132943
201481130,0.073116824
201481135,4.66E-05
201481139,0.132515039
201481142,5.20E-05
201481144,0.000217085
201481145,0.118335318
201481146,0.388750717
201481169,0.032217406
201481175,0.537859201
201481176,0.101824945
201481187,0.018860986
201481263,0.26944533
201481278,0.82329126
201481279,0.813040585
201481284,0.25547752
201481289,0.046200264
201481290,0.000351741
201481296,0.316753927
201481302,0.525959368
201481310,0.619964349
201481315,8.42E-06
201481321,0.060741817
201481322,2.58E-05
201481330,0.018737897
201481373,0.217953258
201481375,0.01104503
201481382,4.34E-05
201481404,0.398440806
201481407,0.255342247
201481408,0.010502086
201481435,0.090163934
201481455,8.40E-05
201481456,2.16E-05
201481469,0.090520201
201481478,5.94E-05
201481479,9.79E-05
201481498,0.467160792
201481500,0.0230635
201481501,0.02405474
201481502,0.165715305
201481503,0.709053558
201481511,0.358716452
201481514,6.94E-05
201481515,9.56E-05
201481532,0.001361617
201481535,0.000185048
201481537,0.032258065
201481538,0.002105263
201481544,0.088832348
201481545,6.35E-05
201481574,8.17E-05
201481575,9.64E-05
201481599,9.35E-05
201481600,0.084411277
201481627,2.55E-05
201481628,2.45E-05
201481634,2.73E-05
201481635,0.125938438
201481636,0.243561519
201481641,0.072901169
201481642,3.19E-05
