"HydroID","turf_1985_pct","turf_1990_pct","turf_1995_pct","turf_2002_pct","turf_2006_pct","turf_2010_pct","turf_2015_pct"
"1",0.0543048339536306,0.0577123010370549,0.0606851962285083,0.0647492492825579,0.0683291296566382,0.0688488079366495,0.068784993013961
"201480086",NA,NA,NA,NA,NA,NA,NA
"201480087",NA,NA,NA,NA,NA,NA,NA
"201480106",NA,NA,NA,NA,NA,NA,NA
"201480107",NA,NA,NA,NA,NA,NA,NA
"201480175",NA,NA,NA,NA,NA,NA,NA
"201480176",NA,NA,NA,NA,NA,NA,NA
"201480179",NA,NA,NA,NA,NA,NA,NA
"201480240",NA,NA,NA,NA,NA,NA,NA
"201480295",NA,NA,NA,NA,NA,NA,NA
"201480296",NA,NA,NA,NA,NA,NA,NA
"201480451",NA,NA,NA,NA,NA,NA,NA
"201480452",NA,NA,NA,NA,NA,NA,NA
"201480461",NA,NA,NA,NA,NA,NA,NA
"201480462",NA,NA,NA,NA,NA,NA,NA
"201480602",NA,NA,NA,NA,NA,NA,NA
"201480603",NA,NA,NA,NA,NA,NA,NA
"201480635",NA,NA,NA,NA,NA,NA,NA
"201480636",NA,NA,NA,NA,NA,NA,NA
"201480643",NA,NA,NA,NA,NA,NA,NA
"201480644",NA,NA,NA,NA,NA,NA,NA
"201480703",NA,NA,NA,NA,NA,NA,NA
"201480704",NA,NA,NA,NA,NA,NA,NA
"201480820",NA,NA,NA,NA,NA,NA,NA
"201480821",NA,NA,NA,NA,NA,NA,NA
"201480839",NA,NA,NA,NA,NA,NA,NA
"201480883",NA,NA,NA,NA,NA,NA,NA
"201480884",NA,NA,NA,NA,NA,NA,NA
"201480921",NA,NA,NA,NA,NA,NA,NA
"201480949",NA,NA,NA,NA,NA,NA,NA
"201480952",NA,NA,NA,NA,NA,NA,NA
"201481013",NA,NA,NA,NA,NA,NA,NA
"201481017",NA,NA,NA,NA,NA,NA,NA
"201481018",NA,NA,NA,NA,NA,NA,NA
"201481021",NA,NA,NA,NA,NA,NA,NA
"201481022",NA,NA,NA,NA,NA,NA,NA
"201481059",NA,NA,NA,NA,NA,NA,NA
"201481072",NA,NA,NA,NA,NA,NA,NA
"201481087",NA,NA,NA,NA,NA,NA,NA
"201481088",NA,NA,NA,NA,NA,NA,NA
"201481100",NA,NA,NA,NA,NA,NA,NA
"201481111",NA,NA,NA,NA,NA,NA,NA
"201481129",NA,NA,NA,NA,NA,NA,NA
"201481130",NA,NA,NA,NA,NA,NA,NA
"201481135",0.0123691722169363,0.0176022835394862,0.021883920076118,0.0318744053282588,0.0447193149381541,0.0447193149381541,0.0447193149381541
"201481139",NA,NA,NA,NA,NA,NA,NA
"201481142",0.0225326723749437,0.03199639477242,0.039206849932402,0.0473186119873817,0.0513744930148716,0.0518251464623704,0.0518251464623704
"201481144",NA,NA,NA,NA,NA,NA,NA
"201481145",NA,NA,NA,NA,NA,NA,NA
"201481146",NA,NA,NA,NA,NA,NA,NA
"201481169",NA,NA,NA,NA,NA,NA,NA
"201481175",NA,NA,NA,NA,NA,NA,NA
"201481176",NA,NA,NA,NA,NA,NA,NA
"201481187",NA,NA,NA,NA,NA,NA,NA
"201481263",NA,NA,NA,NA,NA,NA,NA
"201481278",NA,NA,NA,NA,NA,NA,NA
"201481279",NA,NA,NA,NA,NA,NA,NA
"201481284",NA,NA,NA,NA,NA,NA,NA
"201481289",NA,NA,NA,NA,NA,NA,NA
"201481290",NA,NA,NA,NA,NA,NA,NA
"201481296",NA,NA,NA,NA,NA,NA,NA
"201481302",NA,NA,NA,NA,NA,NA,NA
"201481310",NA,NA,NA,NA,NA,NA,NA
"201481315",NA,NA,NA,NA,NA,NA,NA
"201481321",NA,NA,NA,NA,NA,NA,NA
"201481322",NA,NA,NA,NA,NA,NA,NA
"201481330",NA,NA,NA,NA,NA,NA,NA
"201481373",NA,NA,NA,NA,NA,NA,NA
"201481375",NA,NA,NA,NA,NA,NA,NA
"201481382",NA,NA,NA,NA,NA,NA,NA
"201481404",NA,NA,NA,NA,NA,NA,NA
"201481407",NA,NA,NA,NA,NA,NA,NA
"201481408",NA,NA,NA,NA,NA,NA,NA
"201481435",NA,NA,NA,NA,NA,NA,NA
"201481455",0.0890346766635426,0.0993439550140581,0.115276476101218,0.122774133083411,0.127460168697282,0.125585754451734,0.125585754451734
"201481456",0.0471698113207547,0.0545990566037736,0.0632075471698113,0.0752358490566038,0.0841981132075472,0.0843160377358491,0.0838443396226415
"201481469",NA,NA,NA,NA,NA,NA,NA
"201481478",0.0186375321336761,0.0565552699228792,0.0616966580976864,0.0629820051413882,0.06426735218509,0.06426735218509,0.0661953727506427
"201481479",0.0303358613217768,0.0303358613217768,0.0303358613217768,0.0314192849404117,0.0314192849404117,0.0314192849404117,0.047670639219935
"201481498",NA,NA,NA,NA,NA,NA,NA
"201481500",0.0791245791245791,0.0824915824915825,0.0824915824915825,0.0883838383838384,0.0883838383838384,0.0892255892255892,0.0883838383838384
"201481501",0.115172413793103,0.122758620689655,0.128965517241379,0.136551724137931,0.142758620689655,0.142758620689655,0.140689655172414
"201481502",NA,NA,NA,NA,NA,NA,NA
"201481503",NA,NA,NA,NA,NA,NA,NA
"201481511",NA,NA,NA,NA,NA,NA,NA
"201481514",0.0251141552511416,0.0350076103500761,0.0388127853881279,0.0441400304414003,0.0654490106544901,0.0654490106544901,0.0654490106544901
"201481515",0.0412698412698413,0.0476190476190476,0.0592592592592593,0.0624338624338624,0.071957671957672,0.071957671957672,0.0656084656084656
"201481532",NA,NA,NA,NA,NA,NA,NA
"201481535",0.0192307692307692,0.039136302294197,0.0418353576248313,0.0428475033738192,0.0435222672064777,0.0435222672064777,0.0495951417004049
"201481537",0.0165078284547311,0.0299523485364193,0.0328454731109598,0.0362491490810075,0.0371000680735194,0.0371000680735194,0.0401633764465623
"201481538",0.0312907431551499,0.0395480225988701,0.0465015210777923,0.0508474576271186,0.0669274228596262,0.0669274228596262,0.0643198609300304
"201481544",NA,NA,NA,NA,NA,NA,NA
"201481545",NA,NA,NA,NA,NA,NA,NA
"201481574",0.0518504602667669,0.0595528837121924,0.0684764230696975,0.0796543302648882,0.0871688897238399,0.087074957730603,0.0865113657711817
"201481575",0.0949839914621131,0.0992529348986126,0.0992529348986126,0.101387406616862,0.102454642475987,0.104589114194237,0.104589114194237
"201481599",NA,NA,NA,NA,NA,NA,NA
"201481600",NA,NA,NA,NA,NA,NA,NA
"201481627",NA,NA,NA,NA,NA,NA,NA
"201481628",NA,NA,NA,NA,NA,NA,NA
"201481634",NA,NA,NA,NA,NA,NA,NA
"201481635",NA,NA,NA,NA,NA,NA,NA
"201481636",NA,NA,NA,NA,NA,NA,NA
"201481641",NA,NA,NA,NA,NA,NA,NA
"201481642",0.0137504297009282,0.0206256445513922,0.0237194912341011,0.0295634238569955,0.0305947060845651,0.0305947060845651,0.0305947060845651
