"area_sqkm","length_km","HydroID"
95.0886,131.158000886,"201482231"
61.1604,78.222186381,"201482239"
8.3241,7.929481788,"201482249"
156.8115,211.132237436,"201482255"
182.4273,190.866008421,"201482256"
8.2881,9.07094145,"201482257"
57.8169,74.795037906,"201482264"
12.6045,14.153705408,"201482265"
4.1598,5.385714438,"201482285"
4.9194,5.787867659,"201482286"
54.387,71.176300036,"201482294"
44.4186,61.323435046,"201482314"
2.1735,4.813192896,"201482317"
339.4656,402.680133631,"201482329"
11.0628,12.643659541,"201482333"
0.9522,1.497572496,"201482361"
0.8442,1.659361865,"201482362"
0.9081,2.317904404,"201482364"
22.7196,27.781641494,"201482365"
33.1983,48.184185401,"201482369"
2.8764,3.310857367,"201482382"
346.2228,410.555773131,"201482386"
23.6565,30.414496695,"201482387"
1.5858,1.819117209,"201482391"
2.1411,2.187683654,"201482392"
55.3905,113.09931626,"201482398"
369.9108,441.141612819,"201482409"
10.3266,14.774768136,"201482428"
2.8989,3.767814014,"201482430"
10.9638,8.445177611,"201482434"
3.5811,1.974750821,"201482435"
3.6036,4.369570861,"201482444"
1.9287,3.592072104,"201482456"
2.2365,3.38078753,"201482467"
8.4231,9.999394907,"201482476"
0.7974,1.227354008,"201482491"
5.31,5.467497358,"201482505"
2.9997,2.795598861,"201482538"
373.8555,446.74358587,"201482543"
0.8937,1.486390474,"201482548"
1.611,3.647243034,"201482549"
1.7181,2.322906947,"201482556"
0.8982,2.195281213,"201482557"
0.9918,1.792693894,"201482564"
1.0152,1.135531638,"201482566"
5.958,8.132816039,"201482577"
5.0283,6.47985581,"201482585"
0.9153,1.602263761,"201482627"
5.8347,8.255376824,"201482628"
60.0327,121.145845969,"201482649"
2.8305,5.185911254,"201482650"
4.7304,10.11108936,"201482655"
2.5281,5.094127579,"201482656"
7.6032,10.863915685,"201482658"
375.6618,449.316542109,"201482663"
2.6352,3.014565156,"201482670"
5.8374,6.141303763,"201482671"
5.6115,3.425854531,"201482681"
0.7767,1.345854376,"201482683"
1.1601,2.020509278,"201482686"
0.936,0.332324391,"201482687"
30.3192,44.50189993,"201482692"
0.9432,0.972345316,"201482709"
1.8504,2.527719301,"201482714"
1.3662,2.412566694,"201482715"
3.4578,5.66841976,"201482716"
2.4327,3.136479069,"201482735"
4.0491,7.702157092,"201482736"
2.5704,1.338035236,"201482738"
2.1618,3.70448117,"201482740"
0.9801,2.069024572,"201482747"
377.2593,453.256479326,"201482755"
7.6365,16.157678355,"201482759"
