"HydroID","cnt","fragforest_2002_sum","fragforest_2002_pct"
201482467,2405,761,0.316424116424116
201482649,2590,970,0.374517374517374
201482543,0,0,NA
201482456,0,0,NA
201482681,0,0,NA
201482740,2328,875,0.37585910652921
201482628,0,0,NA
201482548,960,363,0.378125
201482491,0,0,NA
201482671,0,0,NA
201482564,0,0,NA
201482663,0,0,NA
201482557,965,242,0.250777202072539
201482549,1734,719,0.414648212226067
201482655,5093,1661,0.326133909287257
201482566,0,0,NA
201482715,0,0,NA
201482735,2622,939,0.35812356979405
201482982,4266,1647,0.386075949367089
201482736,1661,696,0.419024683925346
201482650,228,51,0.223684210526316
201482658,0,0,NA
201482577,0,0,NA
201482585,0,0,NA
201482627,0,0,NA
201482983,3275,1214,0.370687022900763
201482709,0,0,NA
201482714,0,0,NA
201482686,0,0,NA
201482759,407,193,0.474201474201474
201482800,0,0,NA
201482755,0,0,NA
201482931,0,0,NA
201482683,0,0,NA
201482738,0,0,NA
201482687,0,0,NA
201482747,1057,463,0.438032166508988
201482716,0,0,NA
201482786,0,0,NA
201482910,4102,1151,0.280594831789371
201482869,1274,322,0.252747252747253
201482776,0,0,NA
201482760,73,23,0.315068493150685
201482781,1246,424,0.340288924558588
201482801,0,0,NA
201482868,1090,259,0.237614678899083
201482765,845,292,0.345562130177515
201482779,342,90,0.263157894736842
201482899,1613,658,0.407935523868568
201482926,1912,467,0.244246861924686
201482788,160,70,0.4375
201483020,0,0,NA
201482819,0,0,NA
201482919,1360,577,0.424264705882353
201482838,0,0,NA
201482829,0,0,NA
201482877,0,0,NA
201482903,1050,343,0.326666666666667
201482805,441,179,0.405895691609977
201482937,1317,394,0.29916476841306
201482820,0,0,NA
201482828,0,0,NA
201482895,0,0,NA
201482915,0,0,NA
201482941,0,0,NA
201483015,1356,571,0.421091445427729
201482911,1249,470,0.376301040832666
201483044,0,0,NA
201482927,1036,194,0.187258687258687
201483098,0,0,NA
201482920,97,0,0
201482904,988,421,0.426113360323887
201483183,2864,1076,0.375698324022346
201482966,1783,587,0.329220415030847
201482945,118,29,0.245762711864407
201482939,936,406,0.433760683760684
201482965,281,119,0.423487544483986
201483025,0,0,NA
201483018,0,0,NA
201483053,575,128,0.222608695652174
201482961,1371,575,0.419401896425966
201483070,631,182,0.288431061806656
201483019,0,0,NA
201483174,0,0,NA
201483205,1510,713,0.472185430463576
201483140,2354,1101,0.467714528462192
201483014,2336,963,0.412243150684932
201483234,3756,1262,0.335995740149095
201483054,1052,73,0.0693916349809886
201483033,0,0,NA
201483295,2675,915,0.342056074766355
201483062,140,55,0.392857142857143
201483031,1405,432,0.307473309608541
201483039,0,0,NA
201483115,0,0,NA
201483128,0,0,NA
201483254,2465,331,0.134279918864097
201483150,0,0,NA
201483050,0,0,NA
201483091,0,0,NA
201483154,0,0,NA
201483116,1626,596,0.366543665436654
201483204,1214,588,0.484349258649094
201483433,3496,1004,0.287185354691076
201483119,0,0,NA
201483141,1996,512,0.256513026052104
201483198,0,0,NA
201483319,2172,1070,0.492633517495396
201483120,0,0,NA
201483127,0,0,NA
201483143,0,0,NA
201483160,0,0,NA
201483387,4775,2143,0.448795811518325
201483139,681,236,0.34654919236417
201483156,37,27,0.72972972972973
201483252,0,0,NA
201483285,0,0,NA
201483296,2234,473,0.211727842435094
201483339,1592,609,0.382537688442211
201483215,2313,813,0.351491569390402
201483159,0,0,NA
201483272,0,0,NA
201483335,0,0,NA
201483233,2527,864,0.341907400079145
201483250,0,0,NA
201483185,0,0,NA
201483242,381,98,0.257217847769029
