"HydroID","cnt","coreforest_2010_sum","coreforest_2010_pct"
201482456,0,0,NA
201482681,0,0,NA
201482740,1639,680,0.414887126296522
201482628,0,0,NA
201482548,582,227,0.390034364261168
201482491,0,0,NA
201482671,0,0,NA
201482564,0,0,NA
201482663,0,0,NA
201482557,795,557,0.70062893081761
201482549,1078,372,0.345083487940631
201482655,3763,1950,0.518203560988573
201482566,0,0,NA
201482715,0,0,NA
201482735,1107,176,0.158988256549232
201482982,2192,551,0.251368613138686
201482736,1063,406,0.381937911571025
201482650,104,53,0.509615384615385
201482658,0,0,NA
201482577,0,0,NA
201482585,0,0,NA
201482627,0,0,NA
201482983,1969,741,0.376333164042661
201482709,0,0,NA
201482714,0,0,NA
201482686,0,0,NA
201482759,233,40,0.171673819742489
201482800,0,0,NA
201482755,0,0,NA
201482931,0,0,NA
201482683,0,0,NA
201482738,0,0,NA
201482687,0,0,NA
201482747,633,179,0.282780410742496
201482716,0,0,NA
201482786,0,0,NA
201482910,2906,1788,0.615278733654508
201482869,920,561,0.609782608695652
201482776,0,0,NA
201482760,25,0,0
201482781,566,122,0.215547703180212
201482801,0,0,NA
201482868,889,631,0.709786276715411
201482765,326,30,0.0920245398773006
201482779,88,0,0
201482899,975,296,0.303589743589744
201482926,1252,755,0.603035143769968
201482788,75,0,0
201483020,0,0,NA
201482819,0,0,NA
201482919,1005,419,0.416915422885572
201482838,0,0,NA
201482829,0,0,NA
201482877,0,0,NA
201482903,760,413,0.543421052631579
201482805,243,66,0.271604938271605
201482937,982,587,0.59775967413442
201482820,0,0,NA
201482828,0,0,NA
201482895,0,0,NA
201482915,0,0,NA
201482941,0,0,NA
201483015,915,288,0.314754098360656
201482911,739,253,0.342354533152909
201483044,0,0,NA
201482927,877,686,0.782212086659065
201483098,0,0,NA
201482920,82,82,1
201482904,699,280,0.400572246065808
201483183,2000,788,0.394
201482966,1318,743,0.563732928679818
201482945,111,84,0.756756756756757
201482939,496,80,0.161290322580645
201482965,232,118,0.508620689655172
201483025,0,0,NA
201483018,0,0,NA
201483053,427,333,0.779859484777518
201482961,891,314,0.352413019079686
201483070,451,239,0.529933481152993
201483019,0,0,NA
201483174,0,0,NA
201483205,976,281,0.287909836065574
201483140,1155,99,0.0857142857142857
201483014,1452,440,0.303030303030303
201483234,2620,1341,0.511832061068702
201483054,770,705,0.915584415584416
201483033,0,0,NA
201483295,2057,1164,0.565872630043753
201483062,59,6,0.101694915254237
201483031,658,227,0.344984802431611
201483039,0,0,NA
201483115,0,0,NA
201483128,0,0,NA
201483254,2177,1832,0.84152503445108
201483150,0,0,NA
201483050,0,0,NA
201483091,0,0,NA
201483154,0,0,NA
201483116,1061,465,0.438265786993402
201483204,855,265,0.309941520467836
201483433,1774,754,0.425028184892897
201483119,0,0,NA
201483141,1494,989,0.661981258366801
201483198,0,0,NA
201483319,1665,558,0.335135135135135
201483120,0,0,NA
201483127,0,0,NA
201483143,0,0,NA
201483160,0,0,NA
201483387,3282,1100,0.335161486898233
201483139,339,104,0.306784660766962
201483156,27,0,0
201483252,0,0,NA
201483285,0,0,NA
201483296,1922,1445,0.751821019771072
201483339,774,166,0.214470284237726
201483215,1178,357,0.303056027164686
201483159,0,0,NA
201483272,0,0,NA
201483335,0,0,NA
201483233,971,99,0.101956745623069
201483250,0,0,NA
201483185,0,0,NA
201483242,176,78,0.443181818181818
201483276,927,485,0.52319309600863
201483401,2985,2328,0.779899497487437
201483325,1131,675,0.596816976127321
201483435,1786,799,0.447368421052632
201483219,198,20,0.101010101010101
201483220,1761,973,0.552526973310619
201483218,356,97,0.27247191011236
201483299,2270,877,0.386343612334802
201483343,665,240,0.360902255639098
201483328,253,43,0.1699604743083
201483471,0,0,NA
201483327,178,27,0.151685393258427
201483338,564,140,0.24822695035461
201483311,913,428,0.468784227820372
201483255,698,323,0.462750716332378
201483398,0,0,NA
201483336,0,0,NA
201483402,303,131,0.432343234323432
201483570,0,0,NA
201483284,0,0,NA
201483575,0,0,NA
201483324,1705,914,0.536070381231672
201483477,1208,668,0.552980132450331
201483329,1094,568,0.519195612431444
201483846,0,0,NA
201483400,1308,766,0.585626911314985
201483326,1,1,1
201483394,94,17,0.180851063829787
201483376,561,172,0.306595365418895
201483643,1079,261,0.241890639481001
201483347,73,8,0.10958904109589
201483423,0,0,NA
201483789,2588,817,0.315687789799073
201483434,1177,1063,0.903143585386576
201483493,0,0,NA
201483633,1109,328,0.295761947700631
201483409,778,406,0.521850899742931
201483388,669,242,0.361733931240658
201483543,1363,895,0.656639765223771
201483432,424,107,0.252358490566038
201483751,0,0,NA
201483454,486,450,0.925925925925926
201483403,590,241,0.408474576271186
201483464,111,91,0.81981981981982
201483422,0,0,NA
201483421,1296,730,0.563271604938272
201483476,673,596,0.885586924219911
201483436,405,54,0.133333333333333
201483739,0,0,NA
201483559,0,0,NA
201483589,945,353,0.373544973544974
201483481,905,417,0.460773480662983
201483550,0,0,NA
201483557,1318,688,0.522003034901366
201483498,92,29,0.315217391304348
201483585,213,119,0.55868544600939
201483544,562,108,0.192170818505338
201483584,2407,1151,0.478188616535106
201483693,2216,1333,0.601534296028881
201483497,583,213,0.365351629502573
201483595,655,311,0.474809160305344
201483492,0,0,NA
201483787,1439,502,0.348853370396108
201483506,697,428,0.614060258249641
201483572,400,288,0.72
201483752,0,0,NA
