"HydroID","cnt","fragforest_1990_sum","fragforest_1990_pct"
201480087,0,0,NA
201480086,0,0,NA
201480176,0,0,NA
201480107,0,0,NA
201480106,0,0,NA
201480179,0,0,NA
201480296,0,0,NA
201480175,0,0,NA
201480462,0,0,NA
201480240,0,0,NA
201480295,0,0,NA
201480461,0,0,NA
201480603,0,0,NA
201480452,0,0,NA
201480636,0,0,NA
201480451,0,0,NA
201480644,0,0,NA
201480643,0,0,NA
201480635,0,0,NA
201480884,0,0,NA
201480602,0,0,NA
201480883,0,0,NA
201480704,0,0,NA
201480820,0,0,NA
201480703,0,0,NA
201481013,0,0,NA
201480839,0,0,NA
201480949,0,0,NA
201480821,0,0,NA
201481139,0,0,NA
201481130,0,0,NA
201480921,0,0,NA
201481018,0,0,NA
201481059,0,0,NA
201481088,0,0,NA
201481017,0,0,NA
201481022,0,0,NA
201480952,0,0,NA
201481021,0,0,NA
201481135,2102,752,0.357754519505233
201481176,0,0,NA
201481100,0,0,NA
201481169,0,0,NA
201481072,0,0,NA
201481087,0,0,NA
201481145,0,0,NA
201481111,0,0,NA
201481146,0,0,NA
201481129,0,0,NA
201481263,0,0,NA
201481144,0,0,NA
201481142,2219,753,0.339342045966652
201481175,0,0,NA
201481278,0,0,NA
201481279,0,0,NA
201481187,0,0,NA
201481503,0,0,NA
201481404,0,0,NA
201481289,0,0,NA
201481315,0,0,NA
201481322,0,0,NA
201481284,0,0,NA
201481375,0,0,NA
201481321,0,0,NA
201481290,0,0,NA
201481634,0,0,NA
201481310,0,0,NA
201481456,4159,922,0.221687905746574
201481302,0,0,NA
201481296,0,0,NA
201481330,0,0,NA
201481544,0,0,NA
201481435,0,0,NA
201481373,0,0,NA
201481498,0,0,NA
201481501,1450,560,0.386206896551724
201481408,0,0,NA
201481382,0,0,NA
201481407,0,0,NA
201481502,0,0,NA
201481469,0,0,NA
201481636,0,0,NA
201481500,1188,227,0.191077441077441
201481478,1556,350,0.224935732647815
201481514,1314,304,0.231354642313546
201481651,0,0,NA
201481511,0,0,NA
201481532,0,0,NA
201481711,0,0,NA
201481455,1067,420,0.393626991565136
201481627,0,0,NA
201481574,1099,434,0.394904458598726
201481635,0,0,NA
201481479,923,224,0.242686890574215
201481659,0,0,NA
201481628,0,0,NA
201481515,945,279,0.295238095238095
201481733,1705,464,0.272140762463343
201481600,0,0,NA
201481545,0,0,NA
201481538,42,0,0
201481535,485,31,0.0639175257731959
201481575,937,299,0.319103521878335
201481537,3,0,0
201481642,2909,939,0.322791337229288
201481667,758,293,0.386543535620053
201481825,0,0,NA
201481748,1028,476,0.463035019455253
201481664,0,0,NA
201481599,0,0,NA
201481699,0,0,NA
201481688,0,0,NA
201481663,0,0,NA
201481665,0,0,NA
201482016,0,0,NA
201481824,0,0,NA
201481671,0,0,NA
201481644,0,0,NA
201481641,0,0,NA
201481652,0,0,NA
201481746,0,0,NA
201481739,0,0,NA
201481681,0,0,NA
201481689,0,0,NA
201481668,953,393,0.412381951731375
201481940,0,0,NA
201481648,0,0,NA
201481682,0,0,NA
201481740,0,0,NA
201481747,0,0,NA
201481700,0,0,NA
201481712,0,0,NA
201481732,1254,410,0.32695374800638
201481741,0,0,NA
201481831,2592,854,0.329475308641975
201481762,21,11,0.523809523809524
201481887,0,0,NA
201481796,0,0,NA
201481972,1494,573,0.383534136546185
201481873,0,0,NA
201481800,1042,297,0.285028790786948
201482058,1970,903,0.458375634517766
201481982,0,0,NA
201481902,0,0,NA
201481946,0,0,NA
201482006,0,0,NA
201482118,0,0,NA
201481922,2161,432,0.199907450254512
201481912,1244,510,0.409967845659164
201482256,0,0,NA
201481985,1619,640,0.395305744286597
201481938,0,0,NA
201482072,0,0,NA
201481955,0,0,NA
201482031,1433,682,0.475924633635729
201481949,92,0,0
201482014,0,0,NA
201481954,1475,482,0.326779661016949
201482138,0,0,NA
201482005,0,0,NA
201482013,0,0,NA
201481977,44,0,0
201482137,0,0,NA
201482171,0,0,NA
201481986,39,9,0.230769230769231
201481990,0,0,NA
201482012,0,0,NA
201482037,1424,449,0.315308988764045
201482135,1199,337,0.281067556296914
201482231,0,0,NA
201482062,1587,749,0.471959672337744
201482017,0,0,NA
201482047,0,0,NA
201482158,0,0,NA
201482055,0,0,NA
201482249,0,0,NA
201482103,2956,1222,0.41339648173207
201482041,0,0,NA
201482059,0,0,NA
201482134,0,0,NA
201482104,78,0,0
201482145,0,0,NA
201482117,0,0,NA
201482286,0,0,NA
201482175,1283,445,0.346843335931411
201482159,983,395,0.401831129196338
201482177,0,0,NA
201482398,4465,1724,0.386114221724524
201482170,0,0,NA
201482257,0,0,NA
201482203,0,0,NA
201482197,0,0,NA
201482198,0,0,NA
201482428,0,0,NA
201482434,0,0,NA
201482285,0,0,NA
201482239,0,0,NA
