HydroID,area_sqkm,length_km
201480087,3.0771,4.206038318
201480086,2.205,5.168898405
201480176,2.3832,2.367426048
201480107,0.0261,0.16943478
201480106,0.9522,1.355942099
201480179,0.4815,0.648532946
201480296,1.3563,1.867015059
201480175,0.8172,1.260074116
201480462,3.0672,2.679614375
201480240,1.9548,3.195629989
201480295,1.6551,2.477632498
201480461,1.44,1.628686277
201480603,9.3348,6.156378321
201480452,1.1619,1.727065666
201480636,3.1302,3.696856308
201480451,1.3014,1.824896561
201480644,1.5444,2.386155572
201480643,1.4868,2.327642505
201480635,1.4409,2.233018296
201480884,3.6648,5.249033779
201480602,0.9126,1.528145308
201480883,3.105,4.663433117
201480704,0.6399,1.224937158
201480820,1.3302,1.650655643
201480703,0.0846,0.463704249
201481013,3.8925,3.01096104
201480839,1.1376,1.965803862
201480949,2.6019,3.828814359
201480821,1.5813,2.53582633
201481139,2.4489,3.612702415
201481130,4.2606,4.281007266
201480921,2.3283,1.617344544
201481018,1.6659,2.442844685
201481059,3.6513,2.932104908
201481088,2.5335,2.952027924
201481017,1.6236,1.841396682
201481022,1.4679,1.797697254
201480952,1.8423,3.7779992
201481021,1.1439,1.27797721
201481135,1.9548,2.877351394
201481176,1.4382,2.859736638
201481100,2.3778,1.653824554
201481169,2.7279,4.790594952
201481072,1.0989,1.539522003
201481087,0.9261,0.792603702
201481145,1.1934,2.706019939
201481111,0.549,1.047333608
201481146,0.8739,1.803638648
201481129,0.828,2.115332342
201481263,1.0602,1.460395852
201481144,0.7695,1.015041547
201481142,2.0601,4.36447751
201481175,3.3948,3.023616968
201481278,0.702,1.241350162
201481279,0.5022,1.567356812
201481187,1.6083,3.008049736
201481503,2.8476,3.209836673
201481404,3.8259,3.294071449
201481289,0.4437,0.830861419
201481315,10.0224,6.227429887
201481322,3.2373,1.61950088
201481284,1.3923,2.43337516
201481375,1.8693,1.899720129
201481321,2.0718,2.507704942
201481290,0.2376,0.362575983
201481634,3.0681,4.799920637
201481310,0.7038,1.47786474
201481456,3.8673,5.312205309
