"HydroID","cnt","turf_1995_sum","turf_1995_pct"
201480087,0,NA,NA
201480086,0,NA,NA
201480176,0,NA,NA
201480107,0,NA,NA
201480106,0,NA,NA
201480179,0,NA,NA
201480296,0,NA,NA
201480175,0,NA,NA
201480462,0,NA,NA
201480240,0,NA,NA
201480295,0,NA,NA
201480461,0,NA,NA
201480603,0,NA,NA
201480452,0,NA,NA
201480636,0,NA,NA
201480451,0,NA,NA
201480644,0,NA,NA
201480643,0,NA,NA
201480635,0,NA,NA
201480884,0,NA,NA
201480602,0,NA,NA
201480883,0,NA,NA
201480704,0,NA,NA
201480820,0,NA,NA
201480703,0,NA,NA
201481013,0,NA,NA
201480839,0,NA,NA
201480949,0,NA,NA
201480821,0,NA,NA
201481139,0,NA,NA
201481130,0,NA,NA
201480921,0,NA,NA
201481018,0,NA,NA
201481059,0,NA,NA
201481088,0,NA,NA
201481017,0,NA,NA
201481022,0,NA,NA
201480952,0,NA,NA
201481021,0,NA,NA
201481135,2102,46,0.021883920076118
201481176,0,NA,NA
201481100,0,NA,NA
201481169,0,NA,NA
201481072,0,NA,NA
201481087,0,NA,NA
201481145,0,NA,NA
201481111,0,NA,NA
201481146,0,NA,NA
201481129,0,NA,NA
201481263,0,NA,NA
201481144,0,NA,NA
201481142,2219,87,0.039206849932402
201481175,0,NA,NA
201481278,0,NA,NA
201481279,0,NA,NA
201481187,0,NA,NA
201481503,0,NA,NA
201481404,0,NA,NA
201481289,0,NA,NA
201481315,0,NA,NA
201481322,0,NA,NA
201481284,0,NA,NA
201481375,0,NA,NA
201481321,0,NA,NA
201481290,0,NA,NA
201481634,0,NA,NA
201481310,0,NA,NA
201481456,4159,403,0.0968982928588603
201481302,0,NA,NA
201481296,0,NA,NA
201481330,0,NA,NA
201481544,0,NA,NA
201481435,0,NA,NA
201481373,0,NA,NA
201481498,0,NA,NA
201481501,1450,187,0.128965517241379
201481408,0,NA,NA
201481382,0,NA,NA
201481407,0,NA,NA
201481502,0,NA,NA
201481469,0,NA,NA
201481636,0,NA,NA
201481500,1188,98,0.0824915824915825
201481478,1556,96,0.0616966580976864
201481514,1314,51,0.0388127853881279
201481651,0,NA,NA
201481511,0,NA,NA
201481532,0,NA,NA
201481711,0,NA,NA
201481455,1067,123,0.115276476101218
201481627,0,NA,NA
201481574,1099,70,0.0636942675159236
201481635,0,NA,NA
201481479,923,28,0.0303358613217768
201481659,0,NA,NA
201481628,0,NA,NA
201481515,945,56,0.0592592592592593
201481733,1705,102,0.0598240469208211
201481600,0,NA,NA
201481545,0,NA,NA
201481538,42,0,0
201481535,485,0,0
201481575,937,93,0.0992529348986126
201481537,3,0,0
201481642,2909,69,0.0237194912341011
201481667,758,14,0.0184696569920844
201481825,0,NA,NA
201481748,1028,72,0.0700389105058366
201481664,0,NA,NA
201481599,0,NA,NA
201481699,0,NA,NA
201481688,0,NA,NA
201481663,0,NA,NA
201481665,0,NA,NA
201482016,0,NA,NA
201481824,0,NA,NA
201481671,0,NA,NA
201481644,0,NA,NA
201481641,0,NA,NA
201481652,0,NA,NA
201481746,0,NA,NA
201481739,0,NA,NA
201481681,0,NA,NA
201481689,0,NA,NA
201481668,953,62,0.0650577124868835
201481940,0,NA,NA
201481648,0,NA,NA
201481682,0,NA,NA
201481740,0,NA,NA
201481747,0,NA,NA
201481700,0,NA,NA
201481712,0,NA,NA
201481732,1254,116,0.0925039872408294
201481741,0,NA,NA
201481831,2592,72,0.0277777777777778
201481762,21,0,0
201481887,0,NA,NA
201481796,0,NA,NA
201481972,1494,60,0.0401606425702811
201481873,0,NA,NA
201481800,1042,11,0.0105566218809981
201482058,1970,56,0.0284263959390863
201481982,0,NA,NA
201481902,0,NA,NA
201481946,0,NA,NA
201482006,0,NA,NA
201482118,0,NA,NA
201481922,2161,41,0.018972697825081
201481912,1244,35,0.0281350482315113
201482256,0,NA,NA
201481985,1619,37,0.0228536133415689
201481938,0,NA,NA
201482072,0,NA,NA
201481955,0,NA,NA
201482031,1433,80,0.0558269364968597
201481949,92,0,0
201482014,0,NA,NA
201481954,1475,32,0.0216949152542373
201482138,0,NA,NA
201482005,0,NA,NA
201482013,0,NA,NA
201481977,44,0,0
201482137,0,NA,NA
201482171,0,NA,NA
201481986,39,0,0
201481990,0,NA,NA
201482012,0,NA,NA
201482037,1424,55,0.038623595505618
201482135,1199,6,0.00500417014178482
201482231,0,NA,NA
201482062,1587,96,0.0604914933837429
201482017,0,NA,NA
201482047,0,NA,NA
201482158,0,NA,NA
201482055,0,NA,NA
201482249,0,NA,NA
201482103,2956,148,0.0500676589986468
201482041,0,NA,NA
201482059,0,NA,NA
201482134,0,NA,NA
201482104,78,1,0.0128205128205128
201482145,0,NA,NA
201482117,0,NA,NA
201482286,0,NA,NA
201482175,1283,16,0.0124707716289945
201482159,983,22,0.0223804679552391
201482177,0,NA,NA
201482398,4465,544,0.121836506159015
201482170,0,NA,NA
201482257,0,NA,NA
201482203,0,NA,NA
201482197,0,NA,NA
201482198,0,NA,NA
201482428,0,NA,NA
201482434,0,NA,NA
201482285,0,NA,NA
201482239,0,NA,NA
201482382,0,NA,NA
201482392,0,NA,NA
201482264,0,NA,NA
201482444,0,NA,NA
201482255,0,NA,NA
201482314,0,NA,NA
201482329,0,NA,NA
201482365,0,NA,NA
201482265,0,NA,NA
201482476,0,NA,NA
201482294,0,NA,NA
201482538,0,NA,NA
201482386,0,NA,NA
201482317,2343,298,0.127187366623986
201482333,0,NA,NA
201482369,0,NA,NA
201482505,0,NA,NA
201482364,0,NA,NA
