"HydroID","cnt","openwater_2010_sum","openwater_2010_pct"
201480087,0,0,NA
201480086,0,0,NA
201480176,0,0,NA
201480107,0,0,NA
201480106,0,0,NA
201480179,0,0,NA
201480296,0,0,NA
201480175,0,0,NA
201480462,0,0,NA
201480240,0,0,NA
201480295,0,0,NA
201480461,0,0,NA
201480603,0,0,NA
201480452,0,0,NA
201480636,0,0,NA
201480451,0,0,NA
201480644,0,0,NA
201480643,0,0,NA
201480635,0,0,NA
201480884,0,0,NA
201480602,0,0,NA
201480883,0,0,NA
201480704,0,0,NA
201480820,0,0,NA
201480703,0,0,NA
201481013,0,0,NA
201480839,0,0,NA
201480949,0,0,NA
201480821,0,0,NA
201481139,0,0,NA
201481130,0,0,NA
201480921,0,0,NA
201481018,0,0,NA
201481059,0,0,NA
201481088,0,0,NA
201481017,0,0,NA
201481022,0,0,NA
201480952,0,0,NA
201481021,0,0,NA
201481135,2102,15,0.0071360608943863
201481176,0,0,NA
201481100,0,0,NA
201481169,0,0,NA
201481072,0,0,NA
201481087,0,0,NA
201481145,0,0,NA
201481111,0,0,NA
201481146,0,0,NA
201481129,0,0,NA
201481263,0,0,NA
201481144,0,0,NA
201481142,2219,16,0.00721045515998197
201481175,0,0,NA
201481278,0,0,NA
201481279,0,0,NA
201481187,0,0,NA
201481503,0,0,NA
201481404,0,0,NA
201481289,0,0,NA
201481315,0,0,NA
201481322,0,0,NA
201481284,0,0,NA
201481375,0,0,NA
201481321,0,0,NA
201481290,0,0,NA
201481634,0,0,NA
201481310,0,0,NA
201481456,4159,331,0.079586439047848
201481302,0,0,NA
201481296,0,0,NA
201481330,0,0,NA
201481544,0,0,NA
201481435,0,0,NA
201481373,0,0,NA
201481498,0,0,NA
201481501,1450,111,0.076551724137931
201481408,0,0,NA
201481382,0,0,NA
201481407,0,0,NA
201481502,0,0,NA
201481469,0,0,NA
201481636,0,0,NA
201481500,1188,30,0.0252525252525253
201481478,1556,93,0.0597686375321337
201481514,1314,78,0.0593607305936073
201481651,0,0,NA
201481511,0,0,NA
201481532,0,0,NA
201481711,0,0,NA
201481455,1067,0,0
201481627,0,0,NA
201481574,1099,31,0.0282074613284804
201481635,0,0,NA
201481479,923,33,0.0357529794149512
201481659,0,0,NA
201481628,0,0,NA
201481515,945,83,0.0878306878306878
201481733,1705,65,0.0381231671554252
201481600,0,0,NA
201481545,0,0,NA
201481538,42,39,0.928571428571429
201481535,485,156,0.321649484536082
201481575,937,0,0
201481537,3,3,1
201481642,2909,35,0.0120316259883121
201481667,758,201,0.265171503957784
201481825,0,0,NA
201481748,1028,10,0.00972762645914397
201481664,0,0,NA
201481599,0,0,NA
201481699,0,0,NA
201481688,0,0,NA
201481663,0,0,NA
201481665,0,0,NA
201482016,0,0,NA
201481824,0,0,NA
201481671,0,0,NA
201481644,0,0,NA
201481641,0,0,NA
201481652,0,0,NA
201481746,0,0,NA
201481739,0,0,NA
201481681,0,0,NA
201481689,0,0,NA
201481668,953,94,0.0986358866736621
201481940,0,0,NA
201481648,0,0,NA
201481682,0,0,NA
201481740,0,0,NA
201481747,0,0,NA
201481700,0,0,NA
201481712,0,0,NA
201481732,1254,0,0
201481741,0,0,NA
201481831,2592,519,0.200231481481481
201481762,21,0,0
201481887,0,0,NA
201481796,0,0,NA
201481972,1494,18,0.0120481927710843
201481873,0,0,NA
201481800,1042,0,0
201482058,1970,24,0.0121827411167513
201481982,0,0,NA
201481902,0,0,NA
201481946,0,0,NA
201482006,0,0,NA
201482118,0,0,NA
201481922,2161,29,0.013419713095789
201481912,1244,149,0.119774919614148
201482256,0,0,NA
201481985,1619,259,0.159975293390982
201481938,0,0,NA
201482072,0,0,NA
201481955,0,0,NA
201482031,1433,7,0.00488485694347523
201481949,92,92,1
201482014,0,0,NA
201481954,1475,142,0.096271186440678
201482138,0,0,NA
201482005,0,0,NA
201482013,0,0,NA
201481977,44,44,1
201482137,0,0,NA
201482171,0,0,NA
201481986,39,14,0.358974358974359
201481990,0,0,NA
201482012,0,0,NA
201482037,1424,182,0.127808988764045
201482135,1199,600,0.500417014178482
201482231,0,0,NA
201482062,1587,10,0.00630119722747322
201482017,0,0,NA
201482047,0,0,NA
201482158,0,0,NA
201482055,0,0,NA
201482249,0,0,NA
201482103,2956,193,0.0652909336941813
201482041,0,0,NA
201482059,0,0,NA
201482134,0,0,NA
201482104,78,48,0.615384615384615
201482145,0,0,NA
201482117,0,0,NA
201482286,0,0,NA
201482175,1283,13,0.0101325019485581
201482159,983,190,0.193285859613428
201482177,0,0,NA
201482398,4465,82,0.0183650615901456
201482170,0,0,NA
201482257,0,0,NA
201482203,0,0,NA
201482197,0,0,NA
201482198,0,0,NA
201482428,0,0,NA
201482434,0,0,NA
201482285,0,0,NA
201482239,0,0,NA
201482382,0,0,NA
