staSeq,date,reachLen,totalInd,sampYr,lev1Name,lev1Memb,lev2Name,lev2Memb,levPropNum
16603,1989-06-15,50,152,1989,5,0.697368421,6,0.30263158,5.302631585
16556,1989-06-15,150,83,1989,4,1,NA,0,4
16713,1989-06-19,150,91,1989,3,0.5,4,0.5,3.5
16499,1989-06-19,150,160,1989,4,1,NA,0,4
16577,1989-06-20,100,194,1989,4,1,NA,0,4
15341,1989-06-20,100,75,1989,5,1,NA,0,5
17093,1989-06-20,100,119,1989,3,0.78571429,2,0.214285714,2.785714299
17203,1989-06-20,50,23,1989,5,1,NA,0,5
17005,1989-06-21,150,151,1989,3,0.99337748,2,0.006622517,2.993377473
16728,1989-06-22,100,106,1989,3,0.75,4,0.25,3.25
16500,1989-06-22,150,172,1989,4,1,NA,0,4
16782,1989-06-26,100,188,1989,4,1,NA,0,4
16121,1989-06-27,150,215,1989,4,1,NA,0,4
16535,1989-06-27,50,54,1989,2,1,NA,0,2
17015,1989-06-27,100,175,1989,4,1,NA,0,4
16761,1989-06-28,50,87,1989,1,1,NA,0,1
16476,1989-06-28,50,135,1989,3,0.731481481,4,0.26851852,3.268518524
17031,1989-06-28,50,78,1989,5,1,NA,0,5
16077,1989-06-28,150,255,1989,4,1,NA,0,4
16700,1989-06-29,100,111,1989,4,1,NA,0,4
16842,1989-06-29,150,448,1989,5,1,NA,0,5
15312,1989-07-05,150,93,1989,2,1,NA,0,2
16998,1989-07-05,150,112,1989,5,0.833333333,6,0.16666667,5.166666687
16353,1989-07-06,120,19,1989,5,1,NA,0,5
16470,1989-07-06,100,390,1989,4,1,NA,0,4
16595,1989-07-06,50,156,1989,2,0.576923077,3,0.42307692,2.423076914
16677,1989-07-06,50,38,1989,3,0.565789474,4,0.43421053,3.434210541
16784,1989-07-07,150,134,1989,4,1,NA,0,4
16559,1989-07-07,50,41,1989,4,1,NA,0,4
15955,1989-07-10,150,357,1989,4,1,NA,0,4
16939,1989-07-11,100,160,1989,5,1,NA,0,5
